ticker,quarter,date,Revenue ($M),Operating Cash Flow ($M),Investing Cash Flow ($M),Financing Cash Flow ($M),Operating Income ($M),Net Income ($M),Gross Profit ($M),Revenue QoQ Growth (%),Revenue YoY Growth (%),Operating Income YoY Growth (%)
AAPL,Q3 2024,,85777.0,28858.0,-127.0,-36017.0,25352.0,21448.0,39678.0,-5.5,4.9,10.2
AAPL,Q2 2024,,90753.0,22690.0,-310.0,-30433.0,27900.0,23636.0,42271.0,-24.1,-4.3,-1.5
AAPL,Q1 2024,,119575.0,39895.0,1927.0,-30585.0,40373.0,33916.0,54855.0,33.6,2.1,12.1
AAPL,Q4 2023,,89498.0,21598.0,2394.0,-23153.0,26969.0,22956.0,40427.0,9.4,-0.7,8.3
AAPL,Q3 2023,,81797.0,26380.0,437.0,-24048.0,22998.0,19881.0,36413.0,-13.7,-1.4,-0.3
AAPL,Q2 2023,,94836.0,28560.0,2319.0,-25724.0,28318.0,24160.0,41976.0,-19.1,-2.5,-5.5
AAPL,Q1 2023,,117154.0,34005.0,-1445.0,-35563.0,36016.0,29998.0,50332.0,30.0,-5.5,-13.2
AAPL,Q4 2022,,90146.0,24127.0,-1217.0,-26794.0,24894.0,20721.0,38095.0,8.7,8.1,4.7
AAPL,Q3 2022,,82959.0,22892.0,4234.0,-27445.0,23076.0,19442.0,35885.0,-14.7,1.9,-4.4
AAPL,Q2 2022,,97278.0,28166.0,-9265.0,-28351.0,29979.0,25010.0,42559.0,-21.5,8.6,9.0
AAPL,Q1 2022,,123945.0,46966.0,-16106.0,-28159.0,41488.0,34630.0,54243.0,48.7,11.2,23.7
AAPL,Q4 2021,,83360.0,20200.0,835.0,-20382.0,23786.0,20551.0,35174.0,2.4,28.8,61.0
AAPL,Q3 2021,,81434.0,21094.0,3572.0,-29396.0,24126.0,21744.0,35255.0,-9.1,36.4,84.3
AAPL,Q2 2021,,89584.0,23981.0,-10368.0,-11326.0,27503.0,23630.0,38079.0,-19.6,53.6,114.0
AAPL,Q1 2021,,111439.0,38763.0,-8584.0,-32249.0,33534.0,28755.0,44328.0,72.2,21.4,31.2
AAPL,Q4 2020,,64698.0,20576.0,5531.0,-21357.0,14775.0,12673.0,24689.0,8.4,1.0,-5.4
AAPL,Q3 2020,,59685.0,16271.0,-5165.0,-19116.0,13091.0,11253.0,22680.0,2.4,,
AAPL,Q2 2020,,58313.0,13311.0,9013.0,-20940.0,12853.0,11249.0,22370.0,-36.5,,
AAPL,Q1 2020,,91819.0,30516.0,-13668.0,-25407.0,25569.0,22236.0,35217.0,43.4,,
AAPL,Q4 2019,,64040.0,19910.0,-798.0,-21039.0,15625.0,13686.0,24313.0,,,
