ticker,quarter,date,Revenue ($M),Operating Cash Flow ($M),Investing Cash Flow ($M),Financing Cash Flow ($M),Operating Income ($M),Net Income ($M),Gross Profit ($M),Revenue QoQ Growth (%),Revenue YoY Growth (%),Operating Income YoY Growth (%)
ADBE,Q2 2024,,5309.0,1940.0,111.0,-642.0,1885.0,1573.0,4711.0,2.5,10.2,16.1
ADBE,Q1 2024,,5182.0,1174.0,66.0,-2128.0,907.0,620.0,4592.0,2.7,11.3,-42.8
ADBE,Q4 2023,,5048.0,1597.0,153.0,-1217.0,1743.0,1483.0,4414.0,3.2,11.6,15.8
ADBE,Q3 2023,,4890.0,1873.0,145.0,-871.0,1697.0,1403.0,4310.0,1.5,10.3,14.4
ADBE,Q2 2023,,4816.0,2139.0,322.0,-1080.0,1624.0,1295.0,4244.0,3.5,9.8,6.2
ADBE,Q1 2023,,4655.0,1693.0,156.0,-2014.0,1586.0,1247.0,4087.0,2.9,9.2,0.4
ADBE,Q4 2022,,4525.0,2325.0,-69.0,-1911.0,1505.0,1176.0,3957.0,2.1,10.1,0.3
ADBE,Q3 2022,,4433.0,1704.0,-103.0,-1060.0,1484.0,1136.0,3887.0,1.1,12.7,3.0
ADBE,Q2 2022,,4386.0,2040.0,-138.0,-1250.0,1529.0,1178.0,3847.0,2.9,14.4,8.7
ADBE,Q1 2022,,4262.0,1769.0,-260.0,-2604.0,1580.0,1266.0,3750.0,3.7,9.1,8.7
ADBE,Q4 2021,,4110.0,2066.0,-1739.0,-1078.0,1501.0,1233.0,3603.0,4.4,20.0,25.4
ADBE,Q3 2021,,3935.0,1404.0,-133.0,-899.0,1441.0,1212.0,3468.0,2.6,22.0,34.8
ADBE,Q2 2021,,3835.0,1988.0,-107.0,-1080.0,1406.0,1116.0,3391.0,-1.8,22.6,38.4
ADBE,Q1 2021,,3905.0,1772.0,-1558.0,-1244.0,1454.0,1261.0,3458.0,14.0,26.3,55.2
ADBE,Q4 2020,,3424.0,1782.0,-131.0,-940.0,1197.0,2250.0,2996.0,6.2,14.4,25.1
ADBE,Q3 2020,,3225.0,1436.0,-315.0,-414.0,1069.0,955.0,2798.0,3.1,13.8,25.2
ADBE,Q2 2020,,3128.0,1184.0,80.0,-901.0,1016.0,1100.0,2713.0,1.2,,
ADBE,Q1 2020,,3091.0,1325.0,-48.0,-1233.0,937.0,955.0,2639.0,3.3,,
ADBE,Q4 2019,,2991.94,1376.4,-168.41,-765.66,957.15,851.86,2539.96,5.6,,
ADBE,Q3 2019,,2834.13,922.64,-165.33,-624.37,853.81,792.76,2418.16,,,
