ticker,quarter,date,Revenue ($M),Operating Cash Flow ($M),Investing Cash Flow ($M),Financing Cash Flow ($M),Operating Income ($M),Net Income ($M),Gross Profit ($M),Revenue QoQ Growth (%),Revenue YoY Growth (%),Operating Income YoY Growth (%)
MSFT,Q4 2024,,64727.0,37195.0,-14848.0,-23563.0,27925.0,22036.0,45043.0,4.6,15.2,15.1
MSFT,Q3 2024,,61858.0,31917.0,-10700.0,-18808.0,27581.0,21939.0,43353.0,-0.3,17.0,23.4
MSFT,Q2 2024,,62020.0,18853.0,-71925.0,-10147.0,27032.0,21870.0,42397.0,9.7,17.6,32.5
MSFT,Q1 2024,,56517.0,30583.0,503.0,14761.0,26895.0,22291.0,40215.0,0.6,12.8,25.0
MSFT,Q4 2023,,56189.0,28770.0,-9134.0,-11413.0,24254.0,20081.0,39394.0,6.3,8.3,18.1
MSFT,Q3 2023,,52857.0,24441.0,-3264.0,-10290.0,22352.0,18299.0,36729.0,0.2,7.1,9.8
MSFT,Q2 2023,,52747.0,11173.0,-7150.0,-11349.0,20399.0,16425.0,35259.0,5.2,2.0,-8.3
MSFT,Q1 2023,,50122.0,23198.0,-3132.0,-10883.0,21518.0,17556.0,34670.0,-3.4,10.6,6.3
MSFT,Q4 2022,,51865.0,24629.0,-9729.0,-13269.0,20534.0,16740.0,35436.0,5.1,12.4,7.5
MSFT,Q3 2022,,49360.0,25386.0,-16171.0,-17345.0,20364.0,16728.0,33745.0,-4.6,18.4,19.5
MSFT,Q2 2022,,51728.0,14480.0,-1161.0,-11986.0,22247.0,18765.0,34768.0,14.1,20.1,24.3
MSFT,Q1 2022,,45317.0,24540.0,-3250.0,-16276.0,20238.0,20505.0,31671.0,-1.8,22.0,27.5
MSFT,Q4 2021,,46152.0,22710.0,-10853.0,-11371.0,19095.0,16458.0,32161.0,10.7,21.3,42.4
MSFT,Q3 2021,,41706.0,22179.0,-9684.0,-13192.0,17048.0,15457.0,28661.0,-3.2,19.1,31.4
MSFT,Q2 2021,,43076.0,12516.0,-1669.0,-13634.0,17897.0,15463.0,28882.0,15.9,16.7,28.8
MSFT,Q1 2021,,37154.0,19335.0,-5371.0,-10289.0,15876.0,13893.0,26152.0,-2.3,12.4,25.1
MSFT,Q4 2020,,38033.0,18673.0,-4462.0,-12262.0,13407.0,11202.0,25694.0,8.6,,
MSFT,Q3 2020,,35021.0,17504.0,51.0,-14645.0,12975.0,10752.0,24046.0,-5.1,,
MSFT,Q2 2020,,36906.0,10680.0,-6036.0,-8915.0,13891.0,11649.0,24548.0,11.7,,
MSFT,Q1 2020,,33055.0,13818.0,-1776.0,-10209.0,12686.0,10678.0,22649.0,,,
