ticker,quarter,date,Revenue ($M),Operating Cash Flow ($M),Investing Cash Flow ($M),Financing Cash Flow ($M),Operating Income ($M),Net Income ($M),Gross Profit ($M),Revenue QoQ Growth (%),Revenue YoY Growth (%),Operating Income YoY Growth (%),operating_cash_flow_yoy_growth
NOW,Q3 2024,,2797.0,671.0,-658.0,-292.0,418.0,432.0,2213.0,6.5,22.2,81.0,115.7556270096463
NOW,Q2 2024,,2627.0,620.0,-187.0,-321.0,240.0,262.0,2075.0,0.9,22.2,105.1,6.896551724137923
NOW,Q1 2024,,2603.0,1341.0,-918.0,-259.0,332.0,347.0,2083.0,6.8,24.2,130.6,48.66962305986697
NOW,Q4 2023,,2437.0,1605.0,-444.0,-381.0,270.0,295.0,1921.0,6.5,25.6,74.2,38.12392426850258
NOW,Q3 2023,,2288.0,311.0,-525.0,-333.0,231.0,242.0,1792.0,6.4,25.0,153.8,17.35849056603773
NOW,Q2 2023,,2150.0,580.0,-674.0,-94.0,117.0,1044.0,1679.0,2.6,22.7,431.8,33.94919168591224
NOW,Q1 2023,,2096.0,902.0,-524.0,5.0,144.0,150.0,1658.0,8.0,21.7,65.5,4.519119351100809
NOW,Q4 2022,,1940.0,1162.0,-874.0,-75.0,155.0,150.0,1525.0,6.0,20.2,342.9,37.677725118483416
NOW,Q3 2022,,1831.0,265.0,-629.0,-40.0,91.0,80.0,1431.0,4.5,21.1,23.0,-17.1875
NOW,Q2 2022,,1752.0,433.0,-800.0,-178.0,22.0,20.0,1363.0,1.7,24.3,-56.9,44.333333333333336
NOW,Q1 2022,,1722.0,863.0,-280.0,-51.0,87.0,75.0,1353.0,6.7,26.6,-10.3,18.70701513067401
NOW,Q4 2021,,1614.0,844.0,-359.0,-155.0,35.0,26.0,1240.0,6.7,29.1,95.2,23.117318843222346
NOW,Q3 2021,,1512.0,320.0,-197.0,-78.0,74.0,63.0,1162.0,7.3,31.3,6.7,32.5315176515415
NOW,Q2 2021,,1409.0,300.0,-614.0,-149.0,51.0,59.0,1080.0,3.6,31.6,-18.1,-18.490221543577846
NOW,Q1 2021,,1360.0,727.0,-437.0,-124.0,97.0,82.0,1061.0,8.8,30.0,96.6,47.89408586401067
NOW,Q4 2020,,1250.33,685.52,-176.52,-203.49,17.93,16.65,971.23,8.5,31.4,-37.1,62.750972790359214
NOW,Q3 2020,,1151.97,241.45,-702.24,963.38,69.33,12.86,900.27,7.6,,,
NOW,Q2 2020,,1070.84,368.05,-243.08,-102.21,62.27,40.77,837.9,2.3,,,
NOW,Q1 2020,,1046.34,491.57,-385.03,-61.03,49.34,48.23,822.97,9.9,,,
NOW,Q4 2019,,951.77,421.21,-198.73,-76.28,28.51,598.72,740.32,,,,
